Japonais kanji,Japonais simple,Français,Topic,Section,Niveau
神戸,こうべ,Kobe,T3,aucune,A2/B1
国際色,こくさいしょく,cosmopolitisme,T3,aucune,A2/B1
答え,こたえ,la réponse,T3,aucune,A2/B1
ごちそう,ごちそう,un régal / un festin,T3,aucune,A2/B1
ご飯,ごはん,le riz (cuit) / le repas,T3,aucune,A2/B1
米,こめ,le riz (cru),T3,aucune,A2/B1
さあ,さあ,allons (interjection),T3,aucune,A2/B1
材料,ざいりょう,l'ingrédient / le matériel,T3,aucune,A2/B1
魚,さかな,le poisson,T3,aucune,A2/B1
自信,じしん,la confiance en soi,T3,aucune,A2/B1
ジャム,ジャム,la confiture,T3,aucune,A2/B1
週,しゅう,la semaine,T3,aucune,A2/B1
食,しょく,le repas / l'aliment,T3,aucune,A2/B1
～食,しょく,～ repas,T3,aucune,A2/B1
食事,しょくじ,le repas,T3,aucune,A2/B1
食生活,しょくせいかつ,les habitudes alimentaires,T3,aucune,A2/B1
しょっぱい,しょっぱい,salé,T3,aucune,A2/B1
白い,しろい,blanc,T3,aucune,A2/B1
～人,じん,～ personnes,T3,aucune,A2/B1
好ききらい,すききらい,les goûts,T3,aucune,A2/B1
スターフルーツ,スターフルーツ,la carambole,T3,aucune,A2/B1
スパイス,スパイス,l'épice,T3,aucune,A2/B1
ぜいたく(な),ぜいたく(な),luxueux,T3,aucune,A2/B1
(全然),ぜんぜん,pas du tout (phrase négative),T3,aucune,A2/B1
ソフトドリンク,ソフトドリンク,la boisson non alcoolisée (sucrée),T3,aucune,A2/B1
タイ,タイ,la Thaïlande,T3,aucune,A2/B1
食べ物,たべもの,la nourriture,T3,aucune,A2/B1
ちがいます,ちがいます,être différent / ne pas correspondre (à la réalité),T3,aucune,A2/B1
千葉,ちば,Chiba,T3,aucune,A2/B1
昼食,ちゅうしょく,le déjeuner,T3,aucune,A2/B1
調子,ちょうし,la forme (être vivant) / l'état (objet),T3,aucune,A2/B1
朝食,ちょうしょく,le petit-déjeuner,T3,aucune,A2/B1
妻,つま,mon épouse,T3,aucune,A2/B1
定食,ていしょく,le menu fixe,T3,aucune,A2/B1
できるだけ,できるだけ,autant que possible,T3,aucune,A2/B1
デパート,デパート,le grand magasin,T3,aucune,A2/B1
てんぷら,てんぷら,le tempura,T3,aucune,A2/B1
どうしても,どうしても,quoi qu'on y fasse / coûte que coûte,T3,aucune,A2/B1
どうぞ,どうぞ,je vous en prie,T3,aucune,A2/B1
とうふ,とうふ,le tofu,T3,aucune,A2/B1
トースト,トースト,le toast,T3,aucune,A2/B1
ドリンク,ドリンク,la boisson,T3,aucune,A2/B1
トルコ,トルコ,la Turquie,T3,aucune,A2/B1
ドルマ,ドルマ,le dolma (plat turque),T3,aucune,A2/B1
とんかつ,とんかつ,le tonkatsu (côtelette de porc frit),T3,aucune,A2/B1
なつかしい,なつかしい,qui inspire de la nostalgie,T3,aucune,A2/B1
なっとう,なっとう,le nattoo (graines de soja fermentées),T3,aucune,A2/B1
何,なに／なん,Quoi ?,T3,aucune,A2/B1
何か,なにか,quelque chose,T3,aucune,A2/B1
なれます,なれます,s'habituer,T3,aucune,A2/B1
におい,におい,l'odeur,T3,aucune,A2/B1
苦手(な),にがて(な),ne pas être à l'aise avec,T3,aucune,A2/B1
肉じゃが,にくじゃが,le nikujaga (sorte de ragoût japonais),T3,aucune,A2/B1
～日,にち,～ jours,T3,aucune,A2/B1
日本人,にほんじん,le(la) Japonais(e),T3,aucune,A2/B1
にもの,にもの,le plat mijoté,T3,aucune,A2/B1
ねだん,ねだん,le prix,T3,aucune,A2/B1
のこします,のこします,laisser,T3,aucune,A2/B1
飲み物,のみもの,la boisson,T3,aucune,A2/B1
のり,のり,le nori (feuille d'algue),T3,aucune,A2/B1
バウムクーヘン,バウムクーヘン,le baumkuchen (gâteau à la broche allemand),T3,aucune,A2/B1
始め,はじめ,le début,T3,aucune,A2/B1
バンコク,バンコク,Bangkok,T3,aucune,A2/B1
半年,はんとし,six mois (la moitié d'une année),T3,aucune,A2/B1
半分,はんぶん,la moitié,T3,aucune,A2/B1
ひきます,ひきます(せんを),tracer (un trait),T3,aucune,A2/B1
人,ひと,la personne,T3,aucune,A2/B1
昼ご飯,ひるごはん,le déjeuner,T3,aucune,A2/B1
フィッシュ アンド チップス,フィッシュ アンド チップス,le fish and chips (plat anglais),T3,aucune,A2/B1
ふつう,ふつう,normal / habituel,T3,aucune,A2/B1
ぶどう,ぶどう,le raisin,T3,aucune,A2/B1
ベジマイト,ベジマイト,la vegemite (pâte à tartiner australienne),T3,aucune,A2/B1
ほっとします,ほっとします,se sentir soulagé(e),T3,aucune,A2/B1
ほとんど,ほとんど,la plupart (du temps) / quasiment (tout),T3,aucune,A2/B1
町,まち,la ville / le quartier,T3,aucune,A2/B1
みそしる,みそしる,la soupe miso,T3,aucune,A2/B1
見た目,みため,l'apparence,T3,aucune,A2/B1
みなさん,みなさん,tout le monde / tous / vous tous,T3,aucune,A2/B1
持ちます,もちます,porter,T3,aucune,A2/B1
持ってきます,もってきます,apporter,T3,aucune,A2/B1
もの,もの,la chose (matérielle) / l'objet,T3,aucune,A2/B1
もも,もも,la pêche (le fruit),T3,aucune,A2/B1
やき魚,やきざかな,le poisson grillé,T3,aucune,A2/B1
やせます,やせます,mincir / maigrir,T3,aucune,A2/B1
夕食,ゆうしょく,le dîner,T3,aucune,A2/B1
ラーメン,ラーメン,les ramen (soupe de nouilles japonaise),T3,aucune,A2/B1
量,りょう,la quantité,T3,aucune,A2/B1
わあ,わあ,interjection exprimant une surprise ou une émotion,T3,aucune,A2/B1
和食,わしょく,le repas japonais / les plats japonais,T3,aucune,A2/B1
和田／和田さん,わだ／わださん,Wada / Monsieur Wada,T3,aucune,A2/B1
悪い,わるい,mauvais,T3,aucune,A2/B1
(上がります),あがります,monter,T4,aucune,A2/B1
足,あし,le pied,T4,aucune,A2/B1
あたたかい(あたたかく),あたたかい(あたたかく),chaud / doux,T4,aucune,A2/B1
集まります,あつまります,se rassembler,T4,aucune,A2/B1
姉,あね,ma grande sœur,T4,aucune,A2/B1
アメリカ,アメリカ,les Etats-Unis,T4,aucune,A2/B1
あら,あら,ah / oh / Tiens !,T4,aucune,A2/B1
あれ,あれ,ce / ça,T4,aucune,A2/B1
生け花,いけばな,l'ikebana (arrangement floral japonais),T4,aucune,A2/B1
市場,いちば,le marché,T4,aucune,A2/B1
いつごろ,いつごろ,Quand (approximativement) ?,T4,aucune,A2/B1
いらっしゃい,いらっしゃい,bienvenue,T4,aucune,A2/B1
いらっしゃいます,いらっしゃいます,venir / aller (langage honorifique),T4,aucune,A2/B1
インドネシア語,インドネシアご,l'indonésien,T4,aucune,A2/B1
歌,うた,le chant / la chanson,T4,aucune,A2/B1
歌います,うたいます,chanter,T4,aucune,A2/B1
運転(します),うんてん(します),la conduite (conduire),T4,aucune,A2/B1
英語,えいご,l'anglais,T4,aucune,A2/B1
エンジニア,エンジニア,l'ingénieur,T4,aucune,A2/B1
おい,おい,eh ! (façon brutale d'interpeler quelqu'un),T4,aucune,A2/B1
お母さん,おかあさん,(votre/sa) mère,T4,aucune,A2/B1
おかげ,おかげ,grâce à,T4,aucune,A2/B1
お客様,おきゃくさま,Monsieur / Madame (pour s'adresser au client),T4,aucune,A2/B1
おくさん,おくさん,(votre/son) épouse,T4,aucune,A2/B1
送ります,おくります,envoyer,T4,aucune,A2/B1
お子さん,おこさん,(votre/son) enfant,T4,aucune,A2/B1
おじいさん,おじいさん,(votre/son) grand-père,T4,aucune,A2/B1
教えます,おしえます,enseigner,T4,aucune,A2/B1
おします,おします,pousser,T4,aucune,A2/B1
(お世話),おせわ(せわ),l'aide / les bons soins,T4,aucune,A2/B1
夫,おっと,mon mari,T4,aucune,A2/B1
お父さん,おとうさん,(votre/son) père,T4,aucune,A2/B1
おどり,おどり,la danse (traditionnelle),T4,aucune,A2/B1
お兄さん,おにいさん,(votre/son) frère ainé,T4,aucune,A2/B1
お姉さん／お姉ちゃん,おねえさん／おねえちゃん,(votre/sa) sœur ainée,T4,aucune,A2/B1
お願い,おねがい(ねがい),un souhait / une requête,T4,aucune,A2/B1
お花,おはな,ikebana (art floral japonais),T4,aucune,A2/B1
おぼえます,おぼえます,mémoriser / garder en souvenir,T4,aucune,A2/B1
おみやげ(みやげ),おみやげ(みやげ),le cadeau de voyage,T4,aucune,A2/B1
思い出,おもいで,le souvenir,T4,aucune,A2/B1
音楽,おんがく,la musique,T4,aucune,A2/B1
かざります,かざります,décorer,T4,aucune,A2/B1
貸します,かします,prêter / louer,T4,aucune,A2/B1
かずお/かずおさん,かずお／かずおさん,Kazuo,T4,aucune,A2/B1
かない,かない,mon épouse,T4,aucune,A2/B1
カメラ,カメラ,l'appareil photo,T4,aucune,A2/B1
変わります,かわります,changer,T4,aucune,A2/B1
～観,かん,la façon de voir ~,T4,aucune,A2/B1
機会,きかい,l'occasion / l'opportunité,T4,aucune,A2/B1
きょうつう,きょうつう,en commun,T4,aucune,A2/B1
ぐうぜん,ぐうぜん,la coïncidence / le hasard,T4,aucune,A2/B1
くつ,くつ,la chaussure,T4,aucune,A2/B1
グランドキャニオン,グランドキャニオン,le Grand Canyon,T4,aucune,A2/B1
くれます,くれます,indique que l'action exercée profite au locuteur,T4,aucune,A2/B1
くわしい,くわしい,s'y connaître en / détaillé,T4,aucune,A2/B1
経験(します),けいけん(します),l'expérience (faire l'expérience de),T4,aucune,A2/B1
けしき,けしき,le paysage,T4,aucune,A2/B1
げんかん,げんかん,vestibule (endroit d'un logement où l'on se déchausse),T4,aucune,A2/B1
子,こ,l'enfant,T4,aucune,A2/B1
～語,ご,langue de ~ (nom de pays),T4,aucune,A2/B1
ご家族,ごかぞく(かぞく),(votre/sa) famille,T4,aucune,A2/B1
こちら,こちら,par ici / ici,T4,aucune,A2/B1
こっち,こっち,par ici / ici (version orale et familière),T4,aucune,A2/B1
(この間),このあいだ,l'autre fois / l'autre jour,T4,aucune,A2/B1
ごめんください,ごめんください,Puis-je entrer ?,T4,aucune,A2/B1
ご両親,ごりょうしん(りょうしん),(vos/ses) parents,T4,aucune,A2/B1
坂本／坂本さん,さかもと／さかもとさん,Sakamoto / Madame Sakamoto,T4,aucune,A2/B1
さびしい,さびしい,se sentir seul(e),T4,aucune,A2/B1
ＣＤ,シーディー,le CD,T4,aucune,A2/B1
しびれます,しびれます,s'engourdir,T4,aucune,A2/B1
ジャカルタ,ジャカルタ,Jakarta,T4,aucune,A2/B1
写真,しゃしん,la photographie,T4,aucune,A2/B1
じゃま(します),じゃま(します),la gêne (gêner / déranger),T4,aucune,A2/B1
住所,じゅうしょ,l'adresse postale,T4,aucune,A2/B1
(受験),じゅけん,la présentation à un examen,T4,aucune,A2/B1
しゅじん,しゅじん,le mari,T4,aucune,A2/B1
しゅみ,しゅみ,le loisir / les goûts,T4,aucune,A2/B1
しょう/しょうくん,しょう／しょうくん,Sho,T4,aucune,A2/B1
上手(な),じょうず(な),doué(e),T4,aucune,A2/B1
人生,じんせい,la vie,T4,aucune,A2/B1
人生観,じんせいかん,la conception de la vie,T4,aucune,A2/B1
親切(な),しんせつ(な),gentil(le) / serviable,T4,aucune,A2/B1
すごい,すごい,génial / impressionnant,T4,aucune,A2/B1
昴,すばる,les Pléïades (étoiles),T4,aucune,A2/B1
スリッパ,スリッパ,le chausson,T4,aucune,A2/B1
座ります,すわります,s'asseoir,T4,aucune,A2/B1
正座,せいざ,le seiza (position assise le dos droit sur les genoux),T4,aucune,A2/B1
そして,そして,puis / et ensuite,T4,aucune,A2/B1
そのころ,そのころ,à cette époque,T4,aucune,A2/B1
そふ,そふ,mon grand-père,T4,aucune,A2/B1
そぼ,そぼ,ma grand-mère,T4,aucune,A2/B1
それでは,それでは,bon (interjection) / sur ce,T4,aucune,A2/B1
だいたい,だいたい,à peu près,T4,aucune,A2/B1
(助かります),たすかります,être d'une grande aide / être sauvé,T4,aucune,A2/B1
立ちます,たちます,se lever,T4,aucune,A2/B1
タマ,タマ,Tama,T4,aucune,A2/B1
誕生日,たんじょうび,l'anniversaire,T4,aucune,A2/B1
ちがい,ちがい,la différence,T4,aucune,A2/B1
(地図),ちず,le plan / la carte,T4,aucune,A2/B1
通訳,つうやく,l'interprétariat,T4,aucune,A2/B1
つながり,つながり,le lien / la connexion,T4,aucune,A2/B1
つながります,つながります,être lié,T4,aucune,A2/B1
(連れていきます),つれていきます,emmener,T4,aucune,A2/B1
手作り,てづくり,fait main / artisanal,T4,aucune,A2/B1
電話(します),でんわ(します),le téléphone (téléphoner),T4,aucune,A2/B1
電話(番号),でんわばんごう,le numéro de téléphone,T4,aucune,A2/B1
どうも,どうも,très / bonjour / merci,T4,aucune,A2/B1
(特に),とくに,particulièrement,T4,aucune,A2/B1
とります(しゃしんを),とります(しゃしんを),prendre (une photo),T4,aucune,A2/B1
名前,なまえ,le nom / le prénom,T4,aucune,A2/B1
習います,ならいます,apprendre,T4,aucune,A2/B1
日本語,にほんご,le japonais,T4,aucune,A2/B1
ニャ～,ニャ～,miaou,T4,aucune,A2/B1
ニューヨーク,ニューヨーク,New-York,T4,aucune,A2/B1
～人,にん,~ personnes,T4,aucune,A2/B1
ぬぎます,ぬぎます,se déshabiller / se dévêtir,T4,aucune,A2/B1
～年間,ねんかん,~ années,T4,aucune,A2/B1
～年生,ねんせい,étudiant de ~ème année (grade scolaire),T4,aucune,A2/B1
入ります,はいります,entrer,T4,aucune,A2/B1
はきます,はきます,mettre (pour les vêtements en dessous de la ceinture),T4,aucune,A2/B1
初めて,はじめて,la première fois,T4,aucune,A2/B1
はじめまして,はじめまして,enchanté,T4,aucune,A2/B1
働きます,はたらきます,travailler,T4,aucune,A2/B1
話します,はなします,parler,T4,aucune,A2/B1
はは／ははは,はは／ははは,haha / hahaha,T4,aucune,A2/B1
ひかる/ひかるさん,ひかる／ひかるさん,Hikaru,T4,aucune,A2/B1
びっくりします,びっくりします,être surpris(e),T4,aucune,A2/B1
広島,ひろしま,Hiroshima,T4,aucune,A2/B1
２人／二人,ふたり,deux personnes,T4,aucune,A2/B1
ふれます,ふれます,toucher / effleurer,T4,aucune,A2/B1
ブログ,ブログ,le blog,T4,aucune,A2/B1
へえ,へえ,ah bon !,T4,aucune,A2/B1
ベル,ベル,la sonnerie,T4,aucune,A2/B1
訪問(します),ほうもん(します),la visite (visiter),T4,aucune,A2/B1
ぼく,ぼく,je / moi (pour les garçons),T4,aucune,A2/B1
まあ,まあ,bon / ben / bah,T4,aucune,A2/B1
待ちます,まちます,attendre,T4,aucune,A2/B1
ママ,ママ,Maman,T4,aucune,A2/B1
むかし,むかし,autrefois / auparavant,T4,aucune,A2/B1
むすこ,むすこ,mon fils,T4,aucune,A2/B1
むすめ,むすめ,ma fille,T4,aucune,A2/B1
むすめさん,むすめさん,(votre/sa) fille,T4,aucune,A2/B1
めぐみ/めぐみさん,めぐみ／めぐみさん,Megumi,T4,aucune,A2/B1
約～,やく,environ ~ (quantité),T4,aucune,A2/B1
やさしい,やさしい,gentil(le) / doux(ce),T4,aucune,A2/B1
山本／山本さん,やまもと／やまもとさん,Yamamoto / Madame Yamamoto,T4,aucune,A2/B1
ゆっくり,ゆっくり,doucement / lentement,T4,aucune,A2/B1
ようこ/ようこさん,ようこ／ようこさん,Yoko,T4,aucune,A2/B1
ようこそ,ようこそ,bienvenue,T4,aucune,A2/B1
よしえ/よしえさん,よしえ／よしえさん,Yoshie,T4,aucune,A2/B1
よびます,よびます,appeler,T4,aucune,A2/B1
よびます,よびます,inviter,T4,aucune,A2/B1
来年,らいねん,l'année prochaine,T4,aucune,A2/B1
(楽(な)),らく(な),aisé(e) / simple,T4,aucune,A2/B1
(楽にします),らくにします,se mettre à l'aise,T4,aucune,A2/B1
留学(します),りゅうがく(します),les études à l'étranger (faire des études à l'étranger),T4,aucune,A2/B1
旅行(します),りょこう(します),le voyage (voyager),T4,aucune,A2/B1
旅行会社,りょこうがいしゃ,la compagnie touristique,T4,aucune,A2/B1
例,れい,l'exemple,T4,aucune,A2/B1
レシピ,レシピ,la recette de cuisine,T4,aucune,A2/B1
忘れます,わすれます,oublier,T4,aucune,A2/B1
会います,あいます,rencontrer,T5,aucune,A2/B1
集まり,あつまり,le rassemblement,T5,aucune,A2/B1
集めます,あつめます,avancer,T5,aucune,A2/B1
アラビア,アラビア,Arabie,T5,aucune,A2/B1
アラビア語,アラビアご,l'arabe,T5,aucune,A2/B1
あれ,あれ,Tiens ?,T5,aucune,A2/B1
意見,いけん,l'avis / l'opinion,T5,aucune,A2/B1
(意向形),いこうけい,forme volitive (pour exprimer l'intention),T5,aucune,A2/B1
一番,いちばん,le premier,T5,aucune,A2/B1
５つ／五つ,いつつ,cinq (objets),T5,aucune,A2/B1
今までに,いままでに,jusqu'à présent,T5,aucune,A2/B1
受けます(試験を),うけます(しけんを),se présenter (à un examen),T5,aucune,A2/B1
うらやましい,うらやましい,être envieux,T5,aucune,A2/B1
うん,うん,oui (familier),T5,aucune,A2/B1
えんげき,えんげき,le théâtre,T5,aucune,A2/B1
おくれます,おくれます,être en retard,T5,aucune,A2/B1
同じ,おなじ,identique / même (chose),T5,aucune,A2/B1
外国語,がいこくご,la langue étrangère,T5,aucune,A2/B1
外国人,がいこくじん,l'étranger,T5,aucune,A2/B1
会話,かいわ,la conversation,T5,aucune,A2/B1
カフェ,カフェ,le café (lieu),T5,aucune,A2/B1
通います,かよいます,se rendre régulièrement (école / travail),T5,aucune,A2/B1
関係,かんけい,la relation,T5,aucune,A2/B1
漢字,かんじ,le sinogramme,T5,aucune,A2/B1
聞きとり,ききとり,l'écoute,T5,aucune,A2/B1
聞きとります,ききとります,bien saisir (un contenu auditif),T5,aucune,A2/B1
聞きます,ききます,écouter,T5,aucune,A2/B1
キャラクター,キャラクター,le personnage,T5,aucune,A2/B1
～級,きゅう,le niveau / le rang,T5,aucune,A2/B1
教科書,きょうかしょ,le manuel scolaire,T5,aucune,A2/B1
クラス,クラス,la classe,T5,aucune,A2/B1
～くん,くん,suffixe honorifique à l'adresse des garçons,T5,aucune,A2/B1
計画,けいかく,le projet,T5,aucune,A2/B1
芸術家,げいじゅつか,l'artiste,T5,aucune,A2/B1
こうはい,こうはい,le junior / le cadet,T5,aucune,A2/B1
コース,コース,le cursus,T5,aucune,A2/B1
語学,ごがく,l'étude des langues,T5,aucune,A2/B1
これ,これ,ceci / ça,T5,aucune,A2/B1
参加(します),さんか(します),la participation (participer),T5,aucune,A2/B1
試験,しけん,l'examen,T5,aucune,A2/B1
自然(な),しぜん(な),naturel,T5,aucune,A2/B1
しめきり,しめきり,la date limite,T5,aucune,A2/B1
～中,じゅう,pendant / tout(e) ~,T5,aucune,A2/B1
受講料,じゅこうりょう,le tarif des cours,T5,aucune,A2/B1
上級,じょうきゅう,le niveau avancé,T5,aucune,A2/B1
(小説),しょうせつ,le roman,T5,aucune,A2/B1
情報,じょうほう,l'information,T5,aucune,A2/B1
しょうらい,しょうらい,l'avenir,T5,aucune,A2/B1
初級,しょきゅう,le niveau débutant,T5,aucune,A2/B1
女子,じょし,la jeune fille,T5,aucune,A2/B1
スペイン,スペイン,l'Espagne,T5,aucune,A2/B1
スペイン語,スペインご,l'espagnol,T5,aucune,A2/B1
成績,せいせき,les notes / les résultats,T5,aucune,A2/B1
せっきょく的(な),せっきょくてき(な),actif(ve),T5,aucune,A2/B1
ぜったい,ぜったい,absolument / à tout prix,T5,aucune,A2/B1
先生,せんせい,Monsieur/Madame (titre honorifique),T5,aucune,A2/B1
せんぱい,せんぱい,le senior / l'ainé,T5,aucune,A2/B1
卒業(します),そつぎょう(します),la fin d'étude (terminer ses études),T5,aucune,A2/B1
そんな,そんな,un(e) tel(le) / un(e) pareil(le),T5,aucune,A2/B1
そんなに,そんなに,à ce point / tellement,T5,aucune,A2/B1
大学,だいがく,l'université,T5,aucune,A2/B1
タイ語,タイご,le thaï,T5,aucune,A2/B1
退職(します),たいしょく(します),la retraite (prendre sa retraite),T5,aucune,A2/B1
(大切(な)),たいせつ(な),précieux / important,T5,aucune,A2/B1
正しい(正しく),ただしい(ただしく),correct (correctement),T5,aucune,A2/B1
楽しい(楽しく),たのしい(たのしく),amusant / plaisant,T5,aucune,A2/B1
ためます,ためます,accumuler,T5,aucune,A2/B1
たんご,たんご,le mot / le terme,T5,aucune,A2/B1
チャット,チャット,le chat (conversation sur internet),T5,aucune,A2/B1
ちゃんと,ちゃんと,comme il faut / soigneusement,T5,aucune,A2/B1
中級,ちゅうきゅう,le niveau intermédiaire,T5,aucune,A2/B1
通じます,つうじます,être bien délivré (message / information),T5,aucune,A2/B1
つきます(じしんが),つきます(じしんが),prendre de l'assurance,T5,aucune,A2/B1
(続きます),つづきます,continuer / se poursuivre,T5,aucune,A2/B1
(手紙),てがみ,la lettre,T5,aucune,A2/B1
どうやって,どうやって,comment,T5,aucune,A2/B1
とちゅう,とちゅう,à mi-chemin / en cours de route,T5,aucune,A2/B1
となり,となり,voisin,T5,aucune,A2/B1
ニュース,ニュース,les actualités,T5,aucune,A2/B1
ノート,ノート,le cahier,T5,aucune,A2/B1
始めます,はじめます,commencer,T5,aucune,A2/B1
はずかしがります,はずかしがります,être timide,T5,aucune,A2/B1
はずかしがりや,はずかしがりや,la personne timide / facilement embarrassé(e),T5,aucune,A2/B1
話,はなし,la discussion / l'histoire,T5,aucune,A2/B1
話しことば,はなしことば,la langue parlée,T5,aucune,A2/B1
話し好き(な),はなしずき(な),bavard,T5,aucune,A2/B1
はやい(はやく),はやい(はやく),rapide (rapidement),T5,aucune,A2/B1
ひかく(します),ひかく(します),la comparaison (comparer),T5,aucune,A2/B1
ひさしぶり,ひさしぶり,cela faisait longtemps que ~,T5,aucune,A2/B1
ふしぎ,ふしぎ,étrange / bizarre,T5,aucune,A2/B1
ふふふ,ふふふ,haha,T5,aucune,A2/B1
フラメンコ,フラメンコ,le flamenco,T5,aucune,A2/B1
フランス,フランス,la France,T5,aucune,A2/B1
フランス語,フランスご,le français,T5,aucune,A2/B1
文法,ぶんぽう,la grammaire,T5,aucune,A2/B1
勉強になります,べんきょうになります,cela va m'être utile pour la suite,T5,aucune,A2/B1
方法,ほうほう,la méthode,T5,aucune,A2/B1
母語,ぼご,la langue maternelle,T5,aucune,A2/B1
ほら,ほら,tiens / tenez (interjection),T5,aucune,A2/B1
ボランティア,ボランティア,le bénévolat,T5,aucune,A2/B1
本屋,ほんや,la librairie,T5,aucune,A2/B1
翻訳(します),ほんやく(します),la traduction écrite (traduire),T5,aucune,A2/B1
まだまだ,まだまだ,pas encore,T5,aucune,A2/B1
まちがいます,まちがいます,se tromper / avoir tort,T5,aucune,A2/B1
学びます,まなびます,apprendre,T5,aucune,A2/B1
まね(します),まね(します),l'imitation (imiter),T5,aucune,A2/B1
マンガカフェ,マンガカフェ,le manga-café,T5,aucune,A2/B1
見かけます,みかけます,apercevoir,T5,aucune,A2/B1
３つ／三つ,みっつ,trois (objets),T5,aucune,A2/B1
見習います,みならいます,prendre exemple sur,T5,aucune,A2/B1
難しい,むずかしい,difficile,T5,aucune,A2/B1
メキシコ,メキシコ,le Mexique,T5,aucune,A2/B1
目的,もくてき,le but / l'objectif,T5,aucune,A2/B1
休みます,やすみます,se reposer,T5,aucune,A2/B1
ゆめ,ゆめ,le rêve,T5,aucune,A2/B1
らくだい(します),らくだい(します),l'échec à un examen (échouer à un examen),T5,aucune,A2/B1
あー,あー,ah,T6,aucune,A2/B1
相手,あいて,le (la) partenaire,T6,aucune,A2/B1
～合います(知り合います),あいます,auxiliaire verbale exprimant la réciprocité,T6,aucune,A2/B1
(上げます),あげます,indique que l'action exercée par le locuteur profite à l'interlocuteur,T6,aucune,A2/B1
あなた,あなた,tu / vous (à l'adresse d'un égal ou d'un inférieur),T6,aucune,A2/B1
アンケート,アンケート,l'enquête / le sondage,T6,aucune,A2/B1
いたい,いたい,douloureux,T6,aucune,A2/B1
一生,いっしょう,une vie entière,T6,aucune,A2/B1
いのります,いのります,prier,T6,aucune,A2/B1
妹,いもうと,ma petite sœur,T6,aucune,A2/B1
色,いろ,la couleur,T6,aucune,A2/B1
祝います,いわいます,fêter / célébrer,T6,aucune,A2/B1
インタビュー,インタビュー,l'interview,T6,aucune,A2/B1
うそ,うそ,le mensonge,T6,aucune,A2/B1
うふふ,うふふ,hinhin,T6,aucune,A2/B1
生まれます,うまれます,naître,T6,aucune,A2/B1
うわさ,うわさ,la rumeur,T6,aucune,A2/B1
えへへ,えへへ,(sorte de rire gêné et mignon),T6,aucune,A2/B1
お祝い,おいわい(いわい),la célébration,T6,aucune,A2/B1
大きな,おおきな,gros / grand,T6,aucune,A2/B1
お金持ち,おかねもち(かねもち),la personne riche,T6,aucune,A2/B1
お幸せ,おしあわせ(しあわせ),Vivez heureux,T6,aucune,A2/B1
お仕事,おしごと,(votre/son) travail,T6,aucune,A2/B1
おちます,おちます,tomber,T6,aucune,A2/B1
お寺,おてら(てら),le temple bouddhique,T6,aucune,A2/B1
男,おとこ,l'homme,T6,aucune,A2/B1
おととし,おととし,il y a deux ans,T6,aucune,A2/B1
おどろきます,おどろきます,être surpris,T6,aucune,A2/B1
おばあさん／おばあちゃん,おばあさん／おばあちゃん,(votre/sa) grand-mère,T6,aucune,A2/B1
お二人,おふたり(ふたり),vous/eux deux,T6,aucune,A2/B1
お見舞い,おみまい(みまい),la visite à un malade,T6,aucune,A2/B1
おめでとう,おめでとう,félicitations,T6,aucune,A2/B1
カード,カード,la carte,T6,aucune,A2/B1
かいだん,かいだん,l'escalier,T6,aucune,A2/B1
家事,かじ,les tâches ménagères,T6,aucune,A2/B1
価値,かち,la valeur,T6,aucune,A2/B1
価値観,かちかん,les valeurs,T6,aucune,A2/B1
～月,がつ,suffixe pour indiquer le mois,T6,aucune,A2/B1
カップ,カップ,la tasse,T6,aucune,A2/B1
彼,かれ,lui / le petit ami,T6,aucune,A2/B1
かわいい,かわいい,mignon,T6,aucune,A2/B1
かわいがります,かわいがります,cajoler,T6,aucune,A2/B1
かわいそう(な),かわいそう(な),à plaindre / le/la pauvre,T6,aucune,A2/B1
考え,かんがえ,la pensée / l'idée,T6,aucune,A2/B1
きじ,きじ,l'article de presse,T6,aucune,A2/B1
きっかけ,きっかけ,l'occasion,T6,aucune,A2/B1
きっと,きっと,sûrement,T6,aucune,A2/B1
着ます,きます,porter (une tenue / un haut),T6,aucune,A2/B1
決まります,きまります,être décidé,T6,aucune,A2/B1
気持ち,きもち,le sentiment,T6,aucune,A2/B1
(兄弟),きょうだい,la fratrie / les frères et sœurs,T6,aucune,A2/B1
きょく,きょく,le morceau de musique,T6,aucune,A2/B1
銀行,ぎんこう,la banque,T6,aucune,A2/B1
くらします,くらします,vivre / passer sa vie,T6,aucune,A2/B1
黒,くろ,le noir (couleur),T6,aucune,A2/B1
ケーキ,ケーキ,le gâteau,T6,aucune,A2/B1
けが(します),けが(します),la blessure (se blesser),T6,aucune,A2/B1
けっか,けっか,le résultat,T6,aucune,A2/B1
結婚(します),けっこん(します),le mariage (se marier),T6,aucune,A2/B1
結婚式,けっこんしき,la cérémonie de mariage,T6,aucune,A2/B1
恋人,こいびと,l'amoureux,T6,aucune,A2/B1
ご結婚,ごけっこん(けっこん),(votre/son) mariage,T6,aucune,A2/B1
ごちそうさま,ごちそうさま,merci pour le repas,T6,aucune,A2/B1
婚約,こんやく,les fiançailles,T6,aucune,A2/B1
最近,さいきん,récemment / en ce moment,T6,aucune,A2/B1
最高,さいこう,le meilleur / parfait,T6,aucune,A2/B1
幸せ,しあわせ,le bonheur,T6,aucune,A2/B1
～式,しき,cérémonie de ~,T6,aucune,A2/B1
下,した,en dessous,T6,aucune,A2/B1
(親しい),したしい,proche / intime,T6,aucune,A2/B1
